,goal_difference_1,form_1,form_weighted_1,goal_difference_2,form_2,form_weighted_2,home_away,target,team_1_B,team_1_C,team_1_D,team_2_B,team_2_C,team_2_D
464,-18,0.8,0.8,-9,0.8,0.16,1,3,0,0,1,0,1,0
465,-9,0.8,0.16,-18,0.8,0.8,0,0,0,1,0,0,0,1
466,-3,0.4,0.8,-11,1.6,0.16,1,1,0,1,0,0,1,0
467,-11,1.6,0.16,-3,0.4,0.8,0,1,0,1,0,0,1,0
468,23,2.2,7.2,54,3.0,1.44,1,3,0,0,0,0,0,0
469,54,3.0,1.44,23,2.2,7.2,0,0,0,0,0,0,0,0
470,30,2.0,7.2,-24,2.0,1.44,1,3,1,0,0,0,1,0
471,-24,2.0,1.44,30,2.0,7.2,0,0,0,1,0,1,0,0
472,8,1.4,4.0,-2,0.4,0.8,1,3,1,0,0,0,1,0
473,-2,0.4,0.8,8,1.4,4.0,0,0,0,1,0,1,0,0
474,-4,2.6,5.2,2,1.4,1.04,1,3,0,1,0,0,1,0
475,2,1.4,1.04,-4,2.6,5.2,0,0,0,1,0,0,1,0
476,-3,1.4,2.8,1,0.6,0.5599999999999999,1,3,0,1,0,1,0,0
